iter	Passed	Remaining
680	940	440
681	941	438
682	943	437
683	944	436
684	945	434
685	946	433
686	947	431
687	948	430
688	949	428
689	950	427
690	951	425
691	953	424
692	954	422
693	954	421
694	955	419
695	958	418
696	959	417
697	960	415
698	961	413
699	962	412
700	963	410
701	964	409
702	965	407
703	966	406
704	967	404
705	967	403
706	968	401
707	969	400
708	970	398
709	972	397
710	973	395
711	974	394
712	975	392
713	976	391
714	977	389
715	978	388
716	979	386
717	980	385
718	981	383
719	982	382
720	983	380
721	984	379
722	985	377
723	988	377
724	989	375
725	990	373
726	991	372
727	992	370
728	993	369
729	994	367
730	995	366
731	996	364
732	997	363
733	998	361
734	999	360
735	1000	358
736	1002	357
737	1003	356
738	1004	354
739	1006	353
740	1007	351
741	1008	350
742	1009	349
743	1010	347
744	1011	346
745	1012	344
746	1013	343
747	1014	341
748	1015	340
749	1016	338
750	1017	337
751	1019	336
752	1020	334
753	1020	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1026	325
759	1027	324
760	1028	323
761	1029	321
762	1031	320
763	1033	319
764	1034	317
765	1036	316
766	1037	315
767	1038	313
768	1040	312
769	1041	311
770	1042	309
771	1043	308
772	1044	306
773	1047	305
774	1049	304
775	1049	303
776	1050	301
777	1051	300
778	1052	298
779	1054	297
780	1055	295
781	1056	294
782	1057	293
783	1058	291
784	1059	290
785	1062	289
786	1064	288
787	1065	286
788	1066	285
789	1067	283
790	1069	282
791	1070	281
792	1071	279
793	1072	278
794	1073	276
795	1075	275
796	1077	274
797	1078	273
798	1080	271
799	1081	270
800	1082	268
801	1083	267
802	1084	266
803	1085	264
804	1086	263
805	1087	261
806	1088	260
807	1090	259
808	1092	257
809	1093	256
810	1094	255
811	1095	253
812	1096	252
813	1097	250
814	1098	249
815	1099	247
816	1100	246
817	1100	244
818	1101	243
819	1102	242
820	1103	240
821	1104	239
822	1107	238
823	1108	236
824	1109	235
825	1110	233
826	1111	232
827	1112	231
828	1113	229
829	1114	228
830	1115	226
831	1116	225
832	1117	223
833	1117	222
834	1118	221
835	1119	219
836	1121	218
837	1122	217
838	1123	215
839	1124	214
840	1125	212
841	1126	211
842	1127	210
843	1128	208
844	1129	207
845	1130	205
846	1131	204
847	1132	203
